	SNF2_14	SNF2_15	SNF2_31	SNF2_33	SNF2_42	SNF2_44	WT_02	WT_18	WT_20	WT_39	WT_42	WT_45
YKL211C	1856	1456	1351	2038	1210	1592	915	958	964	996	951	1428
YKL115C	33	21	21	48	25	35	26	17	8	12	11	24
YKL107W	104	89	105	160	85	134	47	46	42	37	40	63
YKL127W	1471	1120	972	1683	952	1375	1049	1142	912	985	989	1408
YKL165C-A	8	2	1	9	1	7	4	7	4	1	3	5
YKR049C	818	1129	991	857	604	999	394	386	612	418	469	552
YKL052C	625	474	599	729	368	574	422	404	283	323	329	601
YKL053C-A	714	630	617	822	521	757	451	433	404	348	400	515
YKL121W	622	408	358	724	403	693	348	352	267	291	316	415
tN(GUU)K	1	0	0	1	0	3	1	1	1	0	0	2
YKL050C	144	56	73	172	90	106	113	109	57	88	94	174
YKL194C	430	272	299	500	251	419	270	306	244	225	244	336
YKR037C	221	190	155	298	165	253	158	126	133	93	142	180
YKL059C	659	587	504	842	475	672	499	518	348	407	466	675
YKL205W	593	396	339	743	401	554	669	527	272	396	442	894
YKL137W	248	200	167	289	156	246	246	204	174	188	207	221
YKR015C	214	143	130	235	163	264	200	183	116	116	161	220
YKL146W	1422	1142	1167	1580	933	1411	782	780	604	623	726	1006
YKR003W	968	558	530	1027	601	860	569	625	533	495	585	724
YKL028W	1840	1387	1536	2522	1344	1577	1169	1181	833	1228	1057	1861
YKR010C	499	221	256	578	289	427	298	258	159	178	251	407
YKL193C	735	460	406	887	454	949	498	442	365	368	446	469
tK(CUU)K	0	0	2	0	0	0	0	1	0	0	0	0
YKL212W	2303	1869	1567	2587	1724	1926	1912	1990	1508	1864	1806	3002
YKL147C	1	1	3	2	1	2	0	2	2	0	0	1
YKL054C	2348	2433	2583	3375	1853	2386	2878	3016	2165	2948	2928	5014
snR38	6	2	1	7	4	8	10	4	2	1	0	8
YKR096W	1477	811	914	1700	967	1470	814	778	468	549	701	936
YKL006C-A	266	215	167	365	187	289	207	174	131	142	174	206
YKL164C	4152	4465	4191	4977	3134	4751	5199	4668	3885	3642	3950	6875
YKL145W-A	0	0	0	0	0	0	0	0	0	0	0	0
YKL026C	308	187	168	311	166	346	186	190	135	119	148	160
YKL044W	55	32	35	72	27	51	98	70	32	58	54	101
YKL089W	267	193	177	304	176	226	138	123	108	135	130	204
YKR077W	431	332	313	581	323	477	171	163	159	147	168	203
YKR095W-A	320	290	243	413	241	388	196	153	127	138	138	221
YKL079W	959	468	443	1182	567	962	680	684	374	465	645	792
YKL161C	551	358	382	645	340	583	188	233	179	148	220	244
YKL159C	342	306	264	521	316	392	236	276	251	231	232	333
YKR030W	616	360	378	798	415	685	443	411	252	194	316	428
