	SRR6357070_ReadsPerGene.out.tab	SRR6357071_ReadsPerGene.out.tab	SRR6357072_ReadsPerGene.out.tab
YDR525W	11	5	9
YDR257C	1880	2896	2157
YDR402C	89	108	82
YDR450W	50768	65511	60841
YDR376W	1636	2462	1718
YDR161W	3386	5030	3898
YDR090C	723	1236	928
YDR189W	4985	6882	5590
YDR524C	1959	2902	2248
YDL237W	3208	4952	3812
YDR188W	8963	13815	10852
YDL133C-A	12603	16366	21204
YDR531W	2433	3547	2786
tG(GCC)D1	1	0	3
YDR226W	22456	30812	24410
YDL054C	1193	1722	1251
YDL205C	2606	3910	3096
YDR537C	18	14	14
YDR496C	9425	14186	11111
YDR313C	635	999	748
YDL108W	1021	1314	1094
tV(CAC)D	9	4	7
YDR340W	13	10	19
YDL147W	8993	13455	10109
YDL081C	34875	42642	45912
YDR283C	5008	7446	5609
YDR261C	3378	5144	3986
YDL211C	261	400	339
YDL074C	5071	7525	5638
YDL091C	804	1253	933
YDR346C	8581	13412	10022
YDR072C	4453	6791	5837
YDR242W	942	1297	997
YDR323C	448	625	506
YDR486C	1493	1866	1580
YDR420W	3707	5795	4957
YDL122W	7057	10597	8136
YDR390C	2415	3428	2835
YDR481C	9153	14074	9492
YDR318W	644	889	697
YDL105W	509	695	520
YDL141W	3564	5050	3866
YDR400W	1803	2686	1944
YDR522C	126	187	141
YDL173W	962	1296	1079
YDR279W	1078	1705	1333
YDR281C	652	1064	1042
YDR213W	2262	3195	2762
YDR179W-A	711	1153	899
YDR330W	1426	2048	1538
YDR106W	76	131	103
YDL178W	2881	4020	2946
YDR484W	1261	1791	1391
YDR308C	796	1099	917
YDL192W	21074	27438	23310
YDL202W	1019	1565	1169
YDR146C	2673	3663	3112
YDR241W	107	150	120
YDL158C	119	191	153
YDL185W	73292	112958	84267
YDR251W	5118	7357	5522
tL(UAA)D	1	4	3
YDR192C	640	947	767
YDR368W	3326	4672	3964
YDR494W	1308	1983	1418
YDR399W	6548	10007	6990
YDR070C	181	316	216
YDR138W	1989	3175	2417
YDR031W	396	409	371
YDR255C	876	1212	909
YDL060W	7142	10231	8041
YDR048C	0	1	5
YDR067C	710	1105	805
YDR126W	277	439	346
YDR315C	248	411	305
YDL126C	49280	72353	52991
YDR262W	1814	2904	1917
tQ(UUG)D3	4	2	2
YDR345C	26895	43085	38351
YDR079W	422	640	499
YDR433W	167	185	123
YDL144C	1719	2406	1980
YDR306C	1101	1687	1250
YDR292C	4931	7141	5535
YDL009C	162	154	150
YDR290W	4	1	1
YDR282C	578	896	653
YDR170C	27110	40208	32428
YDR174W	6522	9337	7834
YDL218W	174	211	190
YDL062W	0	2	3
YDL048C	4995	5571	6078
YDR500C	18144	23833	23526
YDR112W	80	124	116
YDR538W	151	197	182
YDL011C	1	3	3
YDR355C	0	0	0
YDR301W	4655	6605	5165
YDR412W	99	134	118
YDR530C	1026	1435	1155
YDR227W	3208	4424	3767
YDR041W	944	1598	1135
YDR015C	0	0	0
YDL008W	711	1155	959
YDR234W	4934	6960	5638
YDR511W	478	621	504
YDR519W	1301	2000	1601
YDL086C-A	0	0	0
YDR250C	152	197	124
YDR465C	3199	4684	3561
YDL001W	832	1211	1012
YDR454C	7748	10182	8789
YDR013W	588	759	617
YDR076W	303	436	380
YDL095W	15294	23443	18325
YDL007C-A	1	2	7
YDL130W	30716	28829	36107
YDR100W	888	1530	1188
YDR479C	1099	1727	1252
tS(AGA)D1	2	0	0
YDL117W	3485	5038	3733
