	SRA6357070_rsem.genes.results	SRA6357071_rsem.genes.results	SRA6357072_rsem.genes.results
YDL090C	748	1161	869
YDL091C	630	1005	718
YDL092W	1047	1415	1212
YDL093W	1718	2667	2167
YDL094C	15	15	8
YDL095W	15499	23914	18525
YDL096C	1	0	0
YDL097C	6223	8783	6893
YDL098C	258	392	316
YDL099W	1230	1796	1311
YDL100C	10373	15208	11731
YDL101C	873	1277	1020
YDL102W	2897	4315	3299
YDL103C	2405	3508	2799
YDL104C	282	405	325
YDL105W	405	572	419
YDL106C	1169	1636	1298
YDL107W	294	437	300
YDL108W	805	1033	857
YDL109C	493	673	541
YDL110C	210	355	296
YDL111C	1920	2762	2169
YDL112W	8916	12383	9718
YDL113C	1260	1844	1349
YDL114W	7	3	7
YDL114W-A	0	0	0
YDL115C	532	808	630
YDL116W	3831	5438	4298
YDL117W	2831	4196	3070
YDL118W	1	1	0
YDL119C	260	420	313
YDL120W	893	1222	928
YDL121C	1033	1623	1315
YDL122W	6097	9134	7005
YDL123W	195	268	212
YDL124W	4870	6699	5390
YDL125C	2564	4088	3319
YDL126C	42502	61696	44921
YDL127W	626	932	640
YDL128W	3584	5323	4098
YDL129W	575	907	727
YDL130W	16711	16869	21270
YDL130W-A	121	180	145
YDL131W	4905	6565	5146
YDL132W	4352	6104	4708
YDL133C-A	0	0	0
YDL133W	813	1177	941
YDL134C	3076	4357	3608
YDL135C	1233	1796	1338
YDL136W	10419	15761	13475
YDL137W	3344	5189	4084
YDL138W	746	1119	831
YDL139C	178	242	208
YDL140C	26298	37135	31440
YDL141W	2923	4085	3123
YDL142C	520	662	526
YDL143W	9234	13364	10367
YDL144C	1273	1824	1473
YDL145C	29489	41195	31501
YDL146W	900	1218	947
YDL147W	6999	10451	7798
YDL148C	5365	8067	6178
YDL149W	760	1094	708
YDL150W	1862	3072	2194
YDL151C	0	0	0
YDL152W	1	1	0
YDL153C	1969	3023	2434
YDL154W	552	727	549
YDL155W	1563	2223	1740
YDL156W	580	877	693
YDL157C	669	1097	779
YDL158C	80	91	84
YDL159C-B	0	0	0
YDL159W	908	1224	993
