	SRA6357070_rsem.genes.results	SRA6357071_rsem.genes.results	SRA6357072_rsem.genes.results
YKR102W	260	354	263
YKR103W	462	739	573
YKR104W	114	149	94
YKR105C	7	8	11
YKR106W	94	146	102
YLL001W	2146	3439	2460
YLL002W	547	764	584
YLL003W	1354	1967	1542
YLL004W	900	1418	1079
YLL005C	7	14	7
YLL006W	943	1512	1148
YLL006W-A	0	0	0
YLL007C	704	1005	827
YLL008W	6061	9140	6770
YLL009C	62	160	92
YLL010C	1279	2037	1659
YLL011W	2968	4443	3533
YLL012W	1020	1664	1433
YLL013C	3501	5593	4145
YLL014W	637	916	803
YLL015W	4427	6671	5195
YLL016W	328	612	439
YLL017W	4	2	5
YLL018C	18154	26261	20887
YLL018C-A	195	296	233
YLL019C	2101	3157	2372
YLL019W-A	0	0	0
YLL020C	70	104	74
YLL021W	6689	10115	7990
YLL022C	1170	1639	1271
YLL023C	1147	1690	1266
YLL024C	252599	371848	272970
YLL025W	13	27	12
YLL026W	25476	31485	23230
YLL027W	723	1192	873
YLL028W	1227	2127	1891
YLL029W	4122	5728	4443
YLL030C	0	1	1
YLL031C	4358	6269	4875
YLL032C	1558	2164	1732
YLL033W	168	236	206
YLL034C	3727	6058	4751
YLL035W	1617	2582	1954
YLL036C	1758	2475	1931
YLL037W	7	9	9
YLL038C	548	874	664
YLL039C	3738	5421	3706
YLL040C	14368	21603	16703
YLL041C	1024	1349	1087
YLL042C	53	90	48
YLL043W	3204	4784	3962
YLL044W	4	20	8
YLL045C	62392	85138	72624
YLL046C	7	4	12
YLL047W	2	3	5
YLL048C	17819	26379	20038
YLL049W	443	678	534
YLL050C	6792	11066	9260
YLL051C	2513	3580	2907
YLL052C	67	96	76
YLL053C	151	159	110
YLL054C	1050	1626	1166
YLL055W	379	605	427
YLL056C	133	239	166
YLL057C	60	106	64
YLL058W	725	1198	1012
YLL059C	21	40	34
YLL060C	131	216	154
YLL061W	1540	2780	1272
YLL062C	355	710	324
YLL063C	162	301	237
YLL064C	65	145	59
YLL065W	0	0	0
YLL066C	963	2009	1435
YLL066W-A	0	0	0
YLL066W-B	0	0	1
YLL067C	31	38	103
YLL067W-A	0	0	0
YLR001C	1564	2350	1695
YLR002C	3712	5556	4204
YLR003C	1727	2453	1994
YLR004C	79	100	82
YLR005W	1206	1820	1320
YLR006C	1289	1915	1463
YLR007W	695	1050	796
YLR008C	730	1170	882
YLR009W	2639	4057	3180
YLR010C	84	116	95
YLR011W	153	208	166
YLR012C	0	1	0
YLR013W	0	0	0
YLR014C	1122	1621	1207
YLR015W	739	1214	896
YLR016C	458	699	545
YLR017W	3483	4868	3771
YLR018C	1070	1693	1355
YLR019W	1532	2350	1818
YLR020C	1987	2890	2345
YLR021W	566	767	631
YLR022C	1874	2262	1822
YLR023C	1489	2713	1825
YLR024C	2424	3784	2834
YLR025W	718	1155	872
YLR026C	1489	2260	1757
YLR027C	11617	17891	13674
YLR028C	6137	9380	7333
YLR029C	60000	86768	73443
YLR030W	45	54	50
YLR031W	43	58	32
YLR032W	1690	2470	2017
YLR033W	1700	2689	2039
YLR034C	2188	3023	2461
YLR035C	581	846	615
YLR035C-A	1300	2939	1391
YLR036C	263	403	279
YLR037C	38	65	47
YLR038C	291	372	348
YLR039C	2147	3071	2414
YLR040C	206	338	297
YLR041W	14	11	10
YLR042C	200	322	250
YLR043C	1986	3237	2735
YLR044C	705291	1078353	870606
YLR045C	2883	3712	3058
YLR046C	331	459	358
YLR047C	1182	1545	1152
YLR048W	51715	72595	59085
YLR049C	1213	1735	1390
YLR050C	354	597	453
YLR051C	1191	1865	1438
YLR052W	1159	1742	1355
YLR053C	2	6	3
YLR054C	121	140	118
YLR055C	1310	2105	1722
YLR056W	9235	13282	13493
YLR057W	1899	2710	2222
YLR058C	11260	17511	12411
YLR059C	1152	1764	1348
YLR060W	16364	23493	18713
YLR061W	15582	23456	21929
YLR062C	5	6	7
YLR063W	704	1172	967
YLR064W	1356	2070	1691
YLR065C	556	992	766
YLR066W	1238	1594	1376
YLR067C	1430	2092	1373
YLR068W	374	386	373
YLR069C	2151	3408	2309
YLR070C	76	99	91
YLR071C	4337	6107	4670
YLR072W	1206	1831	1348
YLR073C	982	1495	1198
YLR074C	756	1302	1204
YLR075W	88871	129210	111854
YLR076C	8	19	13
YLR077W	1447	2209	1570
YLR078C	852	1210	983
YLR079W	1731	2437	1967
YLR080W	132	203	133
YLR081W	19	22	30
YLR082C	430	625	508
YLR083C	7878	12179	9600
YLR084C	5230	7786	5741
YLR085C	920	1434	1048
YLR086W	3623	5380	4152
YLR087C	7266	11066	8489
YLR088W	2693	3750	2890
YLR089C	3245	4846	3641
YLR090W	1211	1966	1345
YLR091W	350	499	406
YLR092W	315	629	305
YLR093C	1370	2063	1579
YLR094C	1361	2251	1777
YLR095C	2090	3112	2560
YLR096W	3306	5330	4201
YLR097C	755	1051	752
YLR098C	1051	1466	1124
YLR099C	1290	1984	2086
YLR099W-A	181	182	217
YLR100W	4177	5655	4862
YLR101C	3	11	5
YLR102C	235	335	251
YLR103C	923	1187	960
YLR104W	448	573	503
YLR105C	564	951	671
YLR106C	36410	56609	45898
YLR107W	1128	1639	1182
YLR108C	1053	1400	831
YLR109W	43662	61062	38828
YLR110C	80158	123568	114513
YLR111W	3	4	2
YLR112W	90	148	106
YLR113W	4452	5618	4504
YLR114C	1429	2511	1899
YLR115W	2677	3863	3098
YLR116W	1624	2367	1900
YLR117C	1312	1964	1531
YLR118C	1010	1363	1154
YLR119W	325	435	311
YLR120C	4681	6448	5151
YLR120W-A	0	0	0
YLR121C	2892	3597	3439
YLR122C	17	28	24
YLR123C	20	27	16
YLR124W	3	3	2
YLR125W	54	88	66
YLR126C	629	817	682
YLR127C	988	1601	1189
YLR128W	259	387	309
YLR129W	5894	9754	7508
YLR130C	1905	3262	2503
YLR131C	1333	1698	1547
YLR132C	260	397	301
YLR133W	1183	1784	1375
YLR134W	769	934	844
YLR135W	765	1081	861
YLR136C	691	740	814
YLR137W	290	435	388
YLR138W	5354	7876	5804
YLR139C	614	884	775
YLR140W	3	7	5
YLR141W	195	280	248
YLR142W	415	597	505
YLR143W	1867	2606	1951
YLR144C	2105	3054	2337
YLR145W	243	362	260
YLR146C	969	1447	1136
YLR146W-A	124	132	135
YLR147C	217	249	237
YLR148W	2434	3250	2445
YLR149C	305	464	283
YLR149C-A	0	0	0
YLR150W	58089	78661	64203
YLR151C	211	305	205
YLR152C	562	782	626
YLR153C	15177	21925	16760
YLR154C	240	357	357
YLR154C-G	0	0	0
YLR154C-H	0	0	0
YLR154W-A	432	1213	2348
YLR154W-B	562	1517	2544
YLR154W-C	4548	14542	22032
YLR154W-E	15679	32091	47963
YLR154W-F	0	0	1
YLR155C	1501	2343	1796
YLR156C-A	0	0	0
YLR156W	21	20	18
YLR157C	1501	2343	1796
YLR157C-A	0	0	0
YLR157C-B	871	850	248
YLR157C-C	0	0	0
YLR157W-D	0	15	2
YLR157W-E	0	0	0
YLR158C	1501	2343	1796
YLR159C-A	0	0	0
YLR159W	21	20	18
YLR160C	1501	2343	1796
YLR161W	21	20	18
YLR162W	6	5	8
YLR162W-A	5	7	7
YLR163C	2006	2967	2074
YLR163W-A	0	0	0
YLR164W	55	111	102
YLR165C	203	310	218
YLR166C	3330	4474	3544
YLR167W	72493	108386	95222
YLR168C	504	711	579
YLR169W	0	0	2
YLR170C	237	420	341
YLR171W	1	1	2
YLR172C	4093	5959	4645
YLR173W	736	1095	777
YLR174W	189	228	189
YLR175W	14764	22341	17834
YLR176C	736	1008	936
YLR177W	1166	1529	1171
YLR178C	395	687	467
YLR179C	2746	4603	3521
YLR180W	18459	28228	19728
YLR181C	1031	1545	1127
YLR182W	2157	3047	2361
YLR183C	1556	2458	1816
YLR184W	0	0	0
YLR185W	10984	15552	15135
YLR186W	2164	3199	2573
YLR187W	2397	3503	2927
YLR188W	2849	4338	3283
YLR189C	2191	3183	2421
YLR190W	2481	3685	3013
YLR191W	591	888	680
YLR192C	4573	6866	5633
YLR193C	358	598	461
YLR194C	3325	4423	3696
YLR195C	2629	3720	2964
YLR196W	6540	9397	7040
YLR197W	23895	35430	27386
YLR198C	78	128	90
YLR199C	874	1304	1082
YLR200W	554	663	563
YLR201C	810	1047	876
YLR202C	12	14	12
YLR203C	1842	3227	2304
YLR204W	222	382	298
YLR205C	176	227	199
YLR206W	3081	4338	3506
YLR207W	2503	3585	2608
YLR208W	3827	5630	4724
YLR209C	1166	1865	1420
YLR210W	810	1091	861
YLR211C	179	272	202
YLR212C	1227	1732	1529
YLR213C	144	276	168
YLR214W	7207	9423	6065
YLR215C	639	1044	790
YLR216C	10541	14234	10800
YLR217W	2	0	0
YLR218C	82	151	105
YLR219W	2088	2813	2362
YLR220W	1137	1694	1393
YLR221C	1325	1990	1457
YLR222C	7144	10107	7746
YLR222C-A	68	109	101
YLR223C	3777	5833	4470
YLR224W	1555	2497	1761
YLR225C	1307	1859	1430
YLR226W	821	1303	957
YLR227C	206	325	242
YLR227W-A	0	0	0
YLR227W-B	106208	176279	101828
YLR228C	1326	2038	1607
YLR229C	2062	3275	2715
YLR230W	0	2	0
YLR231C	2016	3020	2188
YLR232W	2	2	1
YLR233C	465	726	525
YLR234W	577	761	663
YLR235C	4	5	4
YLR236C	2	7	7
YLR237W	1679	2888	1886
YLR238W	573	858	708
YLR239C	615	925	711
YLR240W	1787	2607	2127
YLR241W	2701	4208	2929
YLR242C	370	514	440
YLR243W	935	1310	1040
YLR244C	8656	12386	10212
YLR245C	223	322	270
YLR246W	332	519	464
YLR247C	4073	5914	4428
YLR248W	4761	7078	5341
YLR249W	491781	686688	536734
YLR250W	1360	2144	1604
YLR251W	163	286	195
YLR252W	53	100	58
YLR253W	1400	2030	1535
YLR254C	275	388	287
YLR255C	7	13	7
YLR256W	10264	14579	12497
YLR256W-A	943	1664	1153
YLR257W	5203	7005	5457
YLR258W	2170	2884	2090
YLR259C	24955	43130	25373
YLR260W	1529	2058	1540
YLR261C	64	65	55
YLR262C	857	1391	1045
YLR262C-A	403	852	791
YLR263W	339	562	418
YLR264C-A	0	0	0
YLR264W	2241	3244	2531
YLR265C	468	738	601
YLR266C	1165	1794	1368
YLR267W	164	248	124
YLR268W	1085	1566	1387
YLR269C	1	0	0
YLR270W	1237	1856	1431
YLR271W	213	340	247
YLR272C	3509	4800	3671
YLR273C	383	548	399
YLR274W	2297	3436	2554
YLR275W	145	208	202
YLR276C	5702	8365	6299
YLR277C	1746	2665	2146
YLR278C	3810	5043	4749
YLR279W	2	2	1
YLR280C	0	0	0
YLR281C	29	26	18
YLR282C	0	0	0
YLR283W	450	600	486
YLR284C	145	229	183
YLR285C-A	1	1	0
YLR285W	1416	1867	1717
YLR286C	32125	45474	38415
YLR286W-A	0	0	0
YLR287C	1626	2527	1890
YLR287C-A	4674	6576	6337
YLR288C	471	720	553
YLR289W	512	766	509
YLR290C	503	796	589
YLR291C	4000	5507	4377
YLR292C	1271	2042	1631
YLR293C	20470	27912	23280
YLR294C	618	732	583
YLR295C	997	1415	1281
YLR296W	1	0	1
YLR297W	338	483	469
YLR298C	554	692	565
YLR299C-A	0	0	0
YLR299W	641	1100	814
YLR300W	17866	25755	22594
YLR301W	4046	5500	4351
YLR302C	2	1	5
YLR303W	15642	28065	11788
YLR304C	21065	35697	24121
YLR305C	9212	13505	10664
YLR306W	242	296	283
YLR307C-A	0	6	5
YLR307W	29	31	30
YLR308W	1	3	3
YLR309C	2475	3579	2860
YLR310C	6627	9658	7484
YLR311C	6	5	4
YLR312C	59	81	60
YLR312W-A	631	1143	790
YLR313C	310	467	350
YLR314C	5298	7092	5944
YLR315W	113	155	155
YLR316C	558	731	590
YLR317W	79	97	96
YLR318W	482	669	526
YLR319C	1583	2412	1875
YLR320W	1414	2225	1698
YLR321C	1479	2354	1800
YLR322W	0	0	0
YLR323C	317	505	406
YLR324W	1185	1848	1327
YLR325C	7571	11972	10725
YLR326W	343	436	324
YLR327C	133	196	101
YLR328W	2523	3317	2709
YLR329W	26	32	22
YLR330W	5221	8003	6242
YLR331C	0	2	1
YLR332W	1953	2871	2414
YLR333C	6877	10528	9372
YLR334C	3	2	1
YLR335W	6801	10325	8276
YLR336C	2733	4288	3294
YLR337C	1354	1891	1775
YLR338W	2	1	8
YLR339C	5	23	11
YLR340W	102518	148544	120589
YLR341W	20	15	20
YLR342W	72446	120325	98871
YLR342W-A	9	12	13
YLR343W	246	335	300
YLR344W	11159	14423	13703
YLR345W	1064	1355	987
YLR346C	24	42	36
YLR347C	10347	14183	10960
YLR347W-A	0	0	1
YLR348C	1189	2696	1437
YLR349W	5	10	10
YLR350W	1819	2757	2333
YLR351C	2321	3604	2789
YLR352W	816	1205	939
YLR353W	1248	1787	1344
YLR354C	15497	22636	18075
YLR355C	48112	71467	56643
YLR356W	385	577	471
YLR357W	3451	5075	3937
YLR358C	1	1	3
YLR359W	9436	14372	10112
YLR360W	820	1124	842
YLR361C	1197	1817	1255
YLR361C-A	101	168	150
YLR362W	1158	1665	1214
YLR363C	426	583	458
YLR363W-A	164	363	301
YLR364C-A	0	0	0
YLR364W	76	121	92
YLR365W	4	1	0
YLR366W	1	1	1
YLR367W	3125	4355	4086
YLR368W	1035	1547	1212
YLR369W	1545	2142	1650
YLR370C	1078	1595	1491
YLR371W	4246	6048	4790
YLR372W	10180	14553	10761
YLR373C	2165	3253	2684
YLR374C	8	10	6
YLR375W	1972	2384	2301
YLR376C	130	226	138
YLR377C	131	172	129
YLR378C	11091	16989	14085
YLR379W	0	0	1
YLR380W	2395	3909	3192
YLR381W	772	1074	851
YLR382C	1350	2333	1610
YLR383W	1884	2786	1979
YLR384C	15931	23406	17397
YLR385C	152	203	169
YLR386W	2731	3925	2958
YLR387C	2186	3045	2226
YLR388W	1425	2372	2619
YLR389C	6636	9468	7366
YLR390W	193	280	184
YLR390W-A	6880	10122	8795
YLR392C	659	950	650
YLR393W	318	475	374
YLR394W	543	838	636
YLR395C	231	256	250
YLR396C	1443	1995	1543
YLR397C	2966	4259	3501
YLR398C	4834	7262	5884
YLR399C	5681	8050	6305
YLR399W-A	0	0	0
YLR400W	3	5	3
YLR401C	3406	5183	3980
YLR402W	29	26	40
YLR403W	2356	3377	2688
YLR404W	392	579	435
YLR405W	801	1397	1057
YLR406C	6104	8683	7246
YLR406C-A	0	0	0
YLR407W	600	1034	828
YLR408C	57	98	83
YLR409C	7258	10836	8545
YLR410W	10707	14984	11922
YLR410W-A	133	1	2
YLR410W-B	10221	13208	8011
YLR411W	67	89	61
YLR412C-A	0	0	1
YLR412W	1009	1411	1077
YLR413W	20280	29566	25866
YLR414C	2344	3300	2774
YLR415C	5	4	16
YLR416C	8	8	4
YLR417W	856	1298	966
YLR418C	1494	2165	1772
YLR419W	4456	6486	4898
YLR420W	6139	8725	6421
YLR421C	1444	2238	1749
YLR422W	4392	6625	4963
YLR423C	279	386	264
YLR424W	668	1055	814
YLR425W	1542	2484	1906
YLR426W	541	787	571
YLR427W	1713	2772	2125
YLR428C	2	1	4
YLR429W	6076	9414	7288
YLR430W	8901	13384	10158
YLR431C	343	526	361
YLR432W	21012	28339	23784
YLR433C	1587	2193	1778
YLR434C	6	7	2
YLR435W	1029	1507	1210
YLR436C	3262	4958	4145
YLR437C	350	453	439
YLR437C-A	1	3	2
YLR438C-A	120	213	222
YLR438W	4488	6470	5526
YLR439W	697	1001	845
YLR440C	1906	2706	2023
YLR441C	56435	77504	63752
YLR442C	1506	2247	1704
YLR443W	900	1297	1006
YLR444C	0	0	0
YLR445W	5	2	5
YLR446W	191	218	192
YLR447C	10528	15199	12318
YLR448W	23223	33081	28366
YLR449W	7184	10134	8642
YLR450W	4477	6787	5318
YLR451W	1836	2684	2070
YLR452C	3889	5950	4685
YLR453C	241	331	266
YLR454W	8599	13157	9999
YLR455W	1031	1268	976
YLR456W	160	243	161
YLR457C	222	274	240
YLR458W	0	0	0
YLR459W	1418	2220	1689
YLR460C	50	103	80
YLR461W	2	4	2
YLR462W	33	62	55
YLR463C	106	176	141
YLR464W	0	1	0
YLR465C	19	31	24
YLR466C-A	0	0	0
YLR466C-B	0	2	0
YLR466W	3368	5950	4492
YLR467C-A	0	0	0
YLR467W	2097	2001	2900
YML001W	2094	2949	2433
YML002W	654	898	677
YML003W	238	362	298
YML004C	4118	5963	4629
YML005W	905	1317	970
YML006C	1997	2863	2331
YML007C-A	0	0	0
YML007W	3192	5249	3860
YML008C	9861	14203	11601
YML009C	106	236	184
YML009C-A	0	1	0
YML009W-B	360	381	289
YML010W	9225	14009	11195
YML011C	192	360	280
YML012C-A	3	8	10
YML012W	3202	4948	3958
YML013W	1967	2845	2215
YML014W	907	1319	1060
YML015C	701	1145	887
YML016C	2039	2771	2390
YML017W	3468	4947	3943
YML018C	2331	3926	2865
YML019W	1326	2008	1598
YML020W	862	1277	990
YML021C	965	1279	1117
YML022W	3193	4615	3863
YML023C	985	1435	1060
YML024W	25904	33476	31418
YML025C	702	1133	823
YML026C	27550	34238	29848
YML027W	499	798	691
YML028W	23739	37974	30969
YML029W	1962	2761	1977
YML030W	271	481	326
YML031C-A	0	0	1
YML031W	3038	4676	3557
YML032C	1767	2668	1949
YML034C-A	0	0	2
YML034W	2291	3403	2702
YML035C	4338	6940	4925
YML036W	419	630	542
YML037C	285	445	328
YML038C	2224	3054	2403
YML039W	202	272	253
YML040W	0	0	0
YML041C	487	670	512
YML042W	225	375	254
YML043C	942	1680	1182
YML045W	1405	3461	2530
YML045W-A	0	0	0
YML046W	1964	2706	2098
YML047C	6	6	7
YML047W-A	1	1	0
YML048W	5547	8375	6900
YML049C	3567	5432	4116
YML050W	205	367	291
YML051W	2035	3168	2427
YML052W	3236	4288	3600
YML053C	388	575	478
YML054C	256	346	267
YML054C-A	0	0	0
YML055W	642	962	804
YML056C	20064	27378	23848
YML057C-A	1	6	2
YML057W	1843	2801	2210
YML058W	1608	2524	2411
YML058W-A	9	13	16
YML059C	4168	5855	4826
YML060W	737	1033	794
YML061C	1754	2700	2116
YML062C	555	914	731
YML063W	83822	111563	96940
YML064C	355	523	441
YML065W	2088	3347	2466
YML066C	4	3	13
YML067C	2408	3276	2603
YML068W	632	871	608
YML069W	3346	4851	3790
YML070W	5034	7591	5419
YML071C	1106	1533	1262
YML072C	25766	38563	30051
YML073C	21250	31848	29394
YML074C	7582	10914	8795
YML075C	6231	8595	7509
YML076C	1524	2202	1606
YML077W	601	750	672
YML078W	2279	3645	2871
YML079W	1448	1924	1568
YML080W	959	1572	1185
YML081C-A	157	239	217
YML081W	5810	8186	6325
YML082W	1818	2849	2082
YML083C	10	11	11
YML084W	0	0	0
YML085C	9566	12814	11079
YML086C	4091	5827	4606
YML087C	109	168	112
YML088W	1755	2759	2069
YML089C	0	1	2
YML090W	1	0	0
YML091C	2826	3648	2963
YML092C	2968	4229	3377
YML093W	6001	8988	6782
YML094C-A	0	0	1
YML094W	995	1242	1102
YML095C	229	300	224
YML096W	1242	1741	1326
YML097C	899	1336	1137
YML098W	183	324	272
YML099C	1844	2616	2134
YML099W-A	0	0	0
YML100W	4206	5966	4563
YML100W-A	0	0	2
YML101C	215	138	182
YML101C-A	12	7	15
YML102W	726	1149	916
YML103C	13107	17933	14362
YML104C	2704	3990	2939
YML105C	1764	2459	2067
YML106W	6707	9519	7705
YML107C	389	571	463
YML108W	245	371	299
YML109W	1406	2150	1752
YML110C	2933	4662	3385
YML111W	2613	3693	2993
YML112W	505	850	652
YML113W	644	976	761
YML114C	1424	2165	1604
YML115C	3181	4584	3742
YML116W	615	1019	688
YML116W-A	239	319	238
YML117W	6089	8760	6432
YML118W	327	433	361
YML119W	480	723	645
YML120C	1526	1966	1621
YML121W	893	1346	1011
YML122C	4	3	2
YML123C	56831	87661	72454
YML124C	5917	8227	6606
YML125C	4855	6891	6073
YML126C	15479	22502	19203
YML127W	2550	3810	2942
YML128C	1169	1869	1033
YML129C	201	210	197
YML130C	4610	6706	4868
YML131W	639	1019	635
YML132W	1198	5	877
YML133C	1909	3180	2525
YML133W-A	4	9	25
YML133W-B	1	8	4
YMR001C	2322	3370	2823
YMR001C-A	18	19	26
YMR002W	2993	4328	3329
YMR003W	320	361	334
YMR004W	2001	2660	2110
YMR005W	1674	2342	1887
YMR006C	4842	6723	5561
YMR007W	8	4	8
YMR008C	1919	2848	2560
YMR009W	694	877	717
YMR010W	1659	2720	2028
YMR011W	20022	31217	20194
YMR012W	40892	59525	43637
YMR013C	859	1163	914
YMR013C-A	0	0	0
YMR013W-A	0	0	0
YMR014W	1696	2551	2068
YMR015C	4880	7140	6377
YMR016C	2376	2992	2887
YMR017W	17	19	22
YMR018W	56	67	59
YMR019W	1688	2490	1766
YMR020W	842	1147	894
YMR021C	769	1184	924
YMR022W	991	1459	1158
YMR023C	522	761	522
YMR024W	1343	2148	1485
YMR025W	201	290	247
YMR026C	801	1232	949
YMR027W	3525	5311	4107
YMR028W	673	1003	826
YMR029C	1827	2599	2003
YMR030W	287	462	339
YMR030W-A	4	9	10
YMR031C	2754	4412	3256
YMR031W-A	1	1	0
YMR032W	1114	1508	1292
YMR033W	2250	3437	2723
YMR034C	330	468	370
YMR035W	344	483	407
YMR036C	926	1378	1074
YMR037C	2453	3435	2840
YMR038C	2235	3612	3104
YMR039C	1222	1832	1464
YMR040W	65	75	71
YMR041C	406	608	482
YMR042W	201	359	296
YMR043W	2481	3277	2735
YMR044W	1055	1718	1296
YMR045C	54454	87414	64242
YMR046C	0	0	0
YMR046W-A	1	2	6
YMR047C	5611	8632	6626
YMR048W	343	497	394
YMR049C	7575	11767	8980
YMR050C	1284	2380	1265
YMR051C	0	0	0
YMR052C-A	7	13	14
YMR052W	159	250	185
YMR053C	436	617	455
YMR054W	3473	5293	4134
YMR055C	325	408	380
YMR056C	182	320	178
YMR057C	1	1	1
YMR058W	28230	32200	31243
YMR059W	173	248	221
YMR060C	595	891	623
YMR061W	2857	4043	3231
YMR062C	1762	2516	2060
YMR063W	220	283	217
YMR064W	1261	1829	1291
YMR065W	294	430	343
YMR066W	904	1378	983
YMR067C	1356	2057	1579
YMR068W	307	387	333
YMR069W	148	187	147
YMR070W	1052	1378	1255
YMR071C	773	1128	942
YMR072W	2778	3968	3454
YMR073C	566	757	588
YMR074C	1457	2015	1771
YMR075C-A	0	2	2
YMR075W	1269	1762	1501
YMR076C	3372	4782	3768
YMR077C	311	473	347
YMR078C	1505	2150	1601
YMR079W	6586	8940	7456
YMR080C	7483	10662	7983
YMR081C	253	341	281
YMR082C	0	0	0
YMR083W	9641	15853	11397
YMR084W	100	130	129
YMR085W	147	214	167
YMR086C-A	10	27	21
YMR086W	3287	5151	3823
YMR087W	279	390	339
YMR088C	935	1844	1383
YMR089C	4955	7302	5250
YMR090W	247	476	305
YMR091C	2223	3135	2739
YMR092C	5753	8231	6188
YMR093W	3476	5689	4564
YMR094W	434	612	474
YMR095C	6	5	15
YMR096W	225	413	284
YMR097C	740	1020	747
YMR098C	1339	1784	1318
YMR099C	5048	7018	5629
YMR100W	1882	2653	2006
YMR101C	16	30	21
YMR102C	3822	5192	4412
YMR103C	74	114	93
YMR104C	1872	2180	1845
YMR105C	1153	1735	1258
YMR105W-A	2	1	3
YMR106C	608	943	675
YMR107W	9	27	6
YMR108W	19202	27184	20353
YMR109W	7121	10268	8164
YMR110C	2122	2736	2161
YMR111C	431	710	502
YMR112C	206	381	273
YMR113W	977	1386	1091
YMR114C	353	505	419
YMR115W	1244	1750	1479
YMR116C	92093	125589	105313
YMR117C	216	328	263
YMR118C	21	43	31
YMR119W	1759	2526	1972
YMR119W-A	162	234	180
YMR120C	5428	8706	5009
YMR121C	750	1168	917
YMR122C	0	3	3
YMR122W-A	2582	4550	3750
YMR123W	724	1158	1121
YMR124W	2074	2886	2313
YMR125W	9146	12485	9355
YMR126C	444	720	528
YMR127C	438	642	487
YMR128W	6962	9622	7442
YMR129W	8166	11562	8826
YMR130W	1014	1398	1209
YMR131C	11126	14844	11158
YMR132C	261	301	250
YMR133W	2	10	10
YMR134W	399	662	522
YMR135C	588	1057	779
YMR135W-A	0	0	1
YMR136W	1749	2064	1914
YMR137C	408	564	429
YMR138W	203	312	236
YMR139W	1126	1524	1131
YMR140W	1328	1845	1413
YMR141C	1	1	1
YMR141W-A	1	0	0
YMR142C	38728	62232	51994
YMR143W	18411	23108	21851
YMR144W	479	685	510
YMR145C	11547	14875	12707
YMR146C	9634	13103	10510
YMR147W	275	383	323
YMR148W	179	364	251
YMR149W	3355	4912	3808
YMR150C	536	786	555
YMR151W	17	29	15
YMR152W	1479	2148	1668
YMR153C-A	16	18	24
YMR153W	1702	2487	1974
YMR154C	585	861	651
YMR155W	695	1083	813
YMR156C	205	303	247
YMR157C	721	931	714
YMR158C-A	2	2	4
YMR158W	485	744	530
YMR158W-B	0	0	0
YMR159C	83	105	72
YMR160W	998	1318	993
YMR161W	779	1241	924
YMR162C	3884	5394	4023
YMR163C	740	1189	920
YMR164C	751	1073	823
YMR165C	1821	2762	2069
YMR166C	430	638	491
YMR167W	1253	1726	1342
YMR168C	1227	1694	1209
YMR169C	313	427	307
YMR170C	717	1169	867
YMR171C	2477	3166	2535
YMR172C-A	1	0	1
YMR172W	1055	1476	1204
YMR173W	4305	5575	3609
YMR173W-A	2250	4399	2382
YMR174C	12	16	17
YMR175W	14	17	9
YMR175W-A	0	0	0
YMR176W	2439	3767	2877
YMR177W	1040	1478	1197
YMR178W	1256	1768	1454
YMR179W	1164	1698	1296
YMR180C	389	564	473
YMR181C	298	355	374
YMR182C	69	117	116
YMR182W-A	0	0	0
YMR183C	2691	4430	3509
YMR184W	342	641	528
YMR185W	2045	2922	2225
YMR186W	144348	209422	148585
YMR187C	485	663	517
YMR188C	591	820	597
YMR189W	2886	3590	3142
YMR190C	3173	4519	3596
YMR191W	1320	1784	1387
YMR192W	1254	1898	1444
YMR193C-A	1	0	2
YMR193W	565	854	591
YMR194C-A	9	19	10
YMR194C-B	16	31	25
YMR194W	5578	7689	7286
YMR195W	339	427	414
YMR196W	1323	2385	1623
YMR197C	885	1153	940
YMR198W	697	991	793
YMR199W	1921	3001	2195
YMR200W	1630	2142	1779
YMR201C	485	712	507
YMR202W	5229	7532	6694
YMR203W	6243	9860	7368
YMR204C	389	460	408
YMR205C	66819	96897	74179
YMR206W	44	67	51
YMR207C	3265	4772	3623
YMR208W	2119	3090	2604
YMR209C	1174	1833	1515
YMR210W	692	1056	794
YMR211W	807	1186	1003
YMR212C	4188	6049	4398
YMR213W	793	1258	976
YMR214W	1549	2383	1863
YMR215W	6350	8637	7611
YMR216C	3953	6279	4571
YMR217W	23690	32589	26476
YMR218C	1827	2775	2196
YMR219W	3607	5488	4249
YMR220W	2806	3919	3195
YMR221C	2435	3482	2696
YMR222C	723	977	833
YMR223W	1154	1546	1135
YMR224C	774	1270	1011
YMR225C	294	482	341
YMR226C	4417	6386	5340
YMR227C	365	659	505
YMR228W	631	857	683
YMR229C	39751	57380	42858
YMR230W	9028	12765	11344
YMR230W-A	7	13	11
YMR231W	2570	3647	2857
YMR232W	292	391	324
YMR233W	340	575	425
YMR234W	768	1063	802
YMR235C	7046	10278	8150
YMR236W	819	1256	1027
YMR237W	5886	8616	6353
YMR238W	2273	3509	2640
YMR239C	1203	1936	1471
YMR240C	468	713	616
YMR241W	4488	6907	4967
YMR242C	26195	38161	33727
YMR242W-A	0	0	0
YMR243C	8731	12748	9862
YMR244C-A	167	323	250
YMR244W	20	31	38
YMR245W	4	6	1
YMR246W	19266	26942	21136
YMR247C	6316	9049	7087
YMR247W-A	0	0	0
YMR250W	1114	1791	1317
YMR251W	42	54	75
YMR251W-A	389	482	562
YMR252C	163	229	204
YMR253C	445	615	501
YMR254C	1	2	0
