"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAR071W",95.930514785676,-3.31581251690404,0.191395610366628,-17.3243916647431,2.69933276691541e-49,6.02850984611109e-47
"YBR070C",378.954989208928,1.53973264206165,0.070787831002559,21.7513747808715,3.8467979820504e-49,8.31404725152829e-47
"YKL109W",1696.20249961147,-2.17836734739036,0.116100199249361,-18.7628217821715,1.14555956387734e-47,2.39851533686817e-45
"YLL053C",115.77278170554,-2.27546933127768,0.12673598936111,-17.9544053961986,6.84731496410479e-45,1.39021243210612e-42
"YGR087C",98.2183412491618,3.15735546612914,0.190712355540071,16.5555894749868,1.97279109369662e-44,3.88755891993157e-42
"YHL047C",1640.59565072905,-1.85603360195096,0.0978494432484522,-18.9682591983509,5.6609543651839e-44,1.08366840704949e-41
"YBR244W",298.708426677524,-2.77300678777743,0.165813565120427,-16.7236425184119,4.53349961814432e-43,8.43734651154636e-41
"YJL012C",2423.19673462359,-1.41760051584132,0.0671672504015332,-21.1055314512169,8.62837794358574e-43,1.56243600600066e-40
"YDL037C",187.277487768352,-4.07478529045632,0.262486298428475,-15.52380187024,1.54509041650294e-42,2.72423836593939e-40
"YBR092C",1171.96244021403,-2.69333832717234,0.164232089364974,-16.3995863268043,5.52941243095216e-41,9.49924699676397e-39
"YDL039C",1620.80269621309,-3.05771130447105,0.192126731203301,-15.9150748327441,9.77440951033181e-41,1.63721359298058e-38
"YHR092C",7888.35240496027,-2.40255827073415,0.144105708665125,-16.6721935792096,4.24250760675215e-40,6.93287828420473e-38
"YOR348C",289.753596751168,2.49439590706153,0.153399894307731,16.2607407150985,6.01515006782471e-39,9.59559653676799e-37
"YCR025C",87.1590889322998,2.84217367891598,0.184636703892229,15.3933298147206,3.56658977361497e-37,5.55724453098146e-35
"YLR413W",2688.90084120883,-2.30248759208287,0.142218018295412,-16.189844435184,4.1140781326943e-37,6.26461897478451e-35
"YBL005W-B",115.858334842292,-2.43176353341294,0.155001394350336,-15.6886558576153,5.94983386843785e-36,8.85864153745191e-34
"YDR011W",1796.41042020864,-1.32842898546591,0.0665676846461123,-19.9560641552747,7.45241667364e-36,1.08546068942148e-33
"YPR064W",77.9022390393647,2.8592318000109,0.190796692817243,14.9857513659823,2.01701450270776e-35,2.8753185464132e-33
"YKR039W",989.249722830346,2.01254295943883,0.123104126531917,16.3482981126311,5.33910198542157e-35,7.45249652131761e-33
"YML122C",66.3263967663799,3.37465872581486,0.238047486540618,14.1764098199753,7.07269836994092e-34,9.67083246502125e-32
"YDR055W",1570.61977320988,-2.06227787188458,0.134082528449467,-15.3806606702067,1.125767147259e-31,1.50852797732706e-29
"YOL155C",1757.94500918297,-2.19025936430825,0.145470128751412,-15.0564200575577,1.6443218062844e-31,2.16018747100107e-29
"YGR233C",652.622985758792,-1.37578920207438,0.0764243493237109,-18.001974688027,1.05294346529295e-30,1.35667715720438e-28
