,myAUC,avg_diff,power,avg_log2FC,pct.1,pct.2,cluster,gene
4355,0.701,0.391974834,0.402,1.301454829,0.638,0.235,6,Irf1
4356,0.701,0.412751726,0.402,1.814307698,0.564,0.164,6,Fam81a
4357,0.701,0.378421237,0.402,2.23879139,0.516,0.121,6,Trappc6a
4358,0.997,4.813358181,0.994,8.819655654,0.996,0.162,7,Ccl4
4359,0.997,4.319897329,0.994,9.013025526,0.996,0.089,7,Ccl3
4360,0.992,2.890587013,0.984,8.822758163,0.985,0.023,7,C1qb
4361,0.99,2.743602106,0.98,8.800349146,0.981,0.019,7,C1qa
4362,0.99,2.70626955,0.98,9.080746398,0.981,0.016,7,C1qc
4363,0.984,2.193122411,0.968,8.130570665,0.97,0.019,7,Fcer1g
4364,0.977,2.236060825,0.954,8.274004089,0.957,0.018,7,Tyrobp
4365,0.957,2.45655062,0.914,6.864340149,0.923,0.074,7,Cd83
4366,0.95,2.057682256,0.9,8.34255919,0.903,0.015,7,Csf1r
4367,0.947,2.56462226,0.894,8.810501895,0.897,0.015,7,Gpr84
4368,0.945,1.313485348,0.89,1.991686886,1,0.986,7,Ftl1
4369,0.941,2.626925623,0.882,8.963718442,0.884,0.018,7,Il1a
4370,0.938,1.762108988,0.876,7.406117167,0.882,0.021,7,Plek
4371,0.935,2.056150928,0.87,6.620014675,0.882,0.032,7,Cd14
4372,0.935,2.946645644,0.87,8.848025498,0.876,0.022,7,Ccl12
4373,0.932,1.356663974,0.864,2.657021082,0.989,0.581,7,Ctsb
4374,0.931,0.98942078,0.862,1.504274152,1,0.996,7,Rps29
4375,0.931,1.851845516,0.862,8.621535025,0.865,0.01,7,Ctss
4376,0.929,2.370736122,0.858,8.301321959,0.863,0.02,7,Tnf
4377,0.927,1.78255702,0.854,8.811409116,0.856,0.008,7,Fcrl2
4378,0.923,0.99444753,0.846,1.540249884,1,0.993,7,Fau
4379,0.921,1.884646121,0.842,8.334939443,0.845,0.01,7,Bcl2a1b
4380,0.918,1.770712127,0.836,4.0910512,0.893,0.267,7,Lgmn
4381,0.915,1.50802691,0.83,7.8861612,0.835,0.012,7,Laptm5
4382,0.906,1.907624283,0.812,3.658412479,0.906,0.321,7,Socs3
4383,0.897,1.467418083,0.794,9.065733726,0.796,0.004,7,C5ar1
4384,0.895,1.148388404,0.79,1.693611795,1,0.999,7,Fth1
4385,0.894,1.933861126,0.788,3.580597827,0.91,0.436,7,Ctsd
