run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	sample_alias	Lane	Sample	BiolRep	label
ERR459006	SAMEA2401215	ERX425353	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459006/ERR459006.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459006	wt_sample136	3	WT	20	WT_20
ERR459139	SAMEA2401348	ERX425486	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459139/ERR459139.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459139	wt_sample269	3	WT	39	WT_39
ERR459143	SAMEA2401352	ERX425490	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459143/ERR459143.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459143	wt_sample273	7	WT	39	WT_39
ERR459137	SAMEA2401346	ERX425484	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459137/ERR459137.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459137	wt_sample267	1	WT	39	WT_39
ERR459138	SAMEA2401347	ERX425485	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459138/ERR459138.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459138	wt_sample268	2	WT	39	WT_39
ERR459140	SAMEA2401349	ERX425487	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459140/ERR459140.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459140	wt_sample270	4	WT	39	WT_39
ERR459141	SAMEA2401350	ERX425488	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459141/ERR459141.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459141	wt_sample271	5	WT	39	WT_39
ERR459142	SAMEA2401351	ERX425489	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459142/ERR459142.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459142	wt_sample272	6	WT	39	WT_39
ERR459158	SAMEA2401367	ERX425505	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459158/ERR459158.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459158	wt_sample288	1	WT	42	WT_42
ERR459159	SAMEA2401368	ERX425506	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459159/ERR459159.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459159	wt_sample289	2	WT	42	WT_42
ERR459160	SAMEA2401369	ERX425507	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459160/ERR459160.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459160	wt_sample290	3	WT	42	WT_42
ERR459162	SAMEA2401371	ERX425509	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459162/ERR459162.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459162	wt_sample292	5	WT	42	WT_42
ERR459163	SAMEA2401372	ERX425510	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459163/ERR459163.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459163	wt_sample293	6	WT	42	WT_42
ERR459164	SAMEA2401373	ERX425511	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459164/ERR459164.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459164	wt_sample294	7	WT	42	WT_42
ERR459161	SAMEA2401370	ERX425508	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459161/ERR459161.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459161	wt_sample291	4	WT	42	WT_42
ERR459182	SAMEA2401391	ERX425529	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459182/ERR459182.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459182	wt_sample312	4	WT	45	WT_45
ERR459181	SAMEA2401390	ERX425528	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459181/ERR459181.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459181	wt_sample311	3	WT	45	WT_45
ERR459183	SAMEA2401392	ERX425530	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459183/ERR459183.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459183	wt_sample313	5	WT	45	WT_45
ERR459179	SAMEA2401388	ERX425526	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459179/ERR459179.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459179	wt_sample309	1	WT	45	WT_45
ERR459180	SAMEA2401389	ERX425527	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459180/ERR459180.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459180	wt_sample310	2	WT	45	WT_45
ERR459184	SAMEA2401393	ERX425531	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459184/ERR459184.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459184	wt_sample314	6	WT	45	WT_45
ERR459185	SAMEA2401394	ERX425532	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR459/ERR459185/ERR459185.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR459/ERR459185	wt_sample315	7	WT	45	WT_45
